|alt|alt fund|annuity|ars|auction|bond|cd|commodity|deposit|equity|equity fund|etf|foreign|fund|future|hedge|hedge fund|index|index fund|insurance|international|leverage|leverage loan|loan|market fund|money market|money market fund|municipal|municipal bond|notes|policy|principal protection|private|private equity|private equity fund|reit|savings|savings bond|stock|target|target date|variable|variable annuity
Alternative Mutual Funds|0.28478755321440063|0.2669883311385006|0.0|0.0|0.0|0.007525663977418976|0.0|0.04312410812921905|0.0|0.0|0.0|0.0196954686962529|0.014374702709739683|0.33134691391330706|0.011609900143788534|0.12937232438765717|0.12937232438765717|0.009376850868129507|0.0|0.0|0.0|0.013272253714286805|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02353355680778778|0.0|0.0|0.0|0.0
Leveraged Loan Funds|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.012101681012068093|0.0|0.18323347601001344|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3262000681244868|0.4374620602280626|0.4565494661990271|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.014267170818719596|0.0
Exchange-Traded Funds (ETFs)|0.0|0.0|0.0|0.0|0.0|0.017751907581283116|0.0|0.01695387907149394|0.0|0.01291491643106775|0.0|0.511045078848221|0.0|0.11072630577103497|0.0|0.0|0.0|0.13271147145073406|0.029182474770061827|0.0|0.0|0.015653623523340307|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05551211517870652|0.0|0.0|0.0|0.0
Index Funds|0.0|0.0|0.0|0.0|0.0|0.009456328151266772|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2845071910604666|0.014588350727925612|0.0|0.0|0.5184267435306218|0.31090637040351415|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.019713966892370934|0.0|0.0|0.0|0.0
Money Market Funds|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.010126073164983112|0.0|0.21010584780665217|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.4434297866434566|0.38163474289416094|0.48727406793313915|0.011259682053482614|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Mutual Funds|0.0|0.0|0.0|0.0|0.0|0.0569494281191468|0.0|0.0|0.0|0.0|0.0|0.010645910942264632|0.0|0.5074545017231035|0.01255090344743843|0.0|0.0|0.05068430754328555|0.040122655832420834|0.0|0.0|0.0|0.0|0.0|0.046619394713424626|0.040122655832420834|0.051228904306458836|0.0|0.0|0.0|0.01255090344743843|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.07632298183737031|0.046619394713424626|0.051228904306458836|0.0|0.0
Target Date Funds|0.0|0.0|0.0|0.0|0.0|0.03464726517404182|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.22882228914422106|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03611523561926926|0.36398685344206455|0.3636147144028771|0.0|0.0
Smart Beta, Quant Funds and other Non-Traditional Index Funds|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.010713320115079873|0.0|0.3544634405438538|0.0|0.0|0.0|0.31623246988412046|0.24226025830822656|0.0|0.0|0.0|0.0|0.0|0.03127639033395458|0.0|0.0|0.0|0.0|0.0|0.012630374901226094|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01563819516697729|0.0|0.0|0.0
Real Estate Investment Trusts (REITs)|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.012559325828505644|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.008801199746825155|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7151387061956045|0.0|0.0|0.029733751891829904|0.0|0.0|0.0|0.0
Structured Notes with Principal Protection|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2541860839219384|0.0|0.3437056962043117|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Hedge Funds|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2303123908314604|0.0|0.3996623489830138|0.3996623489830138|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Stocks|0.0|0.0|0.0|0.0|0.0|0.02031805553328636|0.0|0.0|0.0|0.009854564945679682|0.0|0.0|0.0|0.024849505408995623|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.010448273913779255|0.0|0.0|0.0|0.0|0.0|0.011944301031239639|0.0|0.5647709733887264|0.0|0.0|0.0|0.0
Private Equity Funds|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2893467501498573|0.293953243821545|0.0|0.0|0.19608635561284005|0.0|0.03560962219989043|0.02373974813326029|0.0|0.0|0.030647172161531934|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.009586845405821734|0.0|0.35070494793541696|0.470325190114472|0.293953243821545|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
