|2030|account|adr|alt|alt fund|alternative|alternative mutual|alternative mutual fund|annuity|ars|ars market|auction|bank|bond|bonus|broker|build|build index|buy|cd|certificate|certificate deposit|cftc|charge|claim|commodity|commodity future|company|contract|corporate|corporate bond|country|coupon|currency|custom|custom build|custom build index|date|date fund|death|death benefit|deposit|deposit broker|dividend|ee|environmental|equity|equity firm|equity fund|etf|etf etf|expense|factor|fee|fee expense|foreign|fund|fund invest leverage|future|futures|governance|hedge|hedge fund|high|high yield|high yield bond|index|index fund|insurance|international|international investing|invest leverage|invest leverage loan|investment|investor|issuer note|leverage|leverage loan|life|life insurance|life insurance policy|loan|market|market fund|market index|mix|money|money market|money market fund|msrb|municipal|municipal bond|mutual|mutual fund|non|non traded|non traded reit|non traditional index|note|notes|notes principal|notes principal protection|payment|plan|policy|policy fee|policy fee expense|portfolio company|premium|principal|principal protection|private|private equity|private equity firm|private equity fund|protection|publicly|publicly trade|publicly trade reit|purchase payment|rate|rate security|real estate|register|reit|retirement|retirement fund|risk|savings|savings bond|series|series ee|share|social|stock|stockholder|strategy|structure|structure notes|structure notes principal|structured|structured notes|structured notes principal|surrender|surrender charge|target|target date|target date fund|trade|trade future|trade reit|traded|traded reit|trading|traditional|traditional index|traditional index fund|variable|variable annuity|variable life|variable life insurance|yield|yield bond
Annuities|0.0|0.043954339525385085|0.0|0.0|0.0|0.0|0.0|0.0|0.683034847729485|0.0|0.0|0.0|0.011253044913865829|0.0|0.0|0.022757393162183975|0.0|0.0|0.0509477826708933|0.0|0.0|0.0|0.0|0.11378696581091989|0.0|0.0|0.0|0.05298612020695572|0.04195727574457304|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.012187769967209505|0.012187769967209505|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.041747618492252815|0.0|0.06739455053372924|0.009284248751794236|0.0|0.04214048854781453|0.0|0.009843597822645312|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04770167580028961|0.0|0.1573397840421489|0.0|0.0|0.0|0.0|0.06283343487893252|0.014046829515938174|0.0|0.0|0.0|0.02097863787228652|0.0|0.0|0.0|0.005046758084633002|0.0|0.01048931893614326|0.0|0.028304323706051834|0.0|0.0|0.0|0.0|0.0|0.04528691792968293|0.04528691792968293|0.0|0.0|0.0|0.0|0.01048931893614326|0.0|0.0|0.0|0.12137276353164789|0.018568497503588473|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.013392840151558527|0.018380331963744338|0.0|0.0|0.022757393162183975|0.0|0.04921798911322656|0.0|0.0366913790331466|0.0|0.0|0.022506089827731657|0.0|0.0|0.0|0.006651072667384317|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04875107986883802|0.03656330990162852|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.18702835863026093|0.24107112272805348|0.0|0.0|0.0|0.0
Variable Life Insurance|0.0|0.05844239397623841|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.008483917550864986|0.0|0.0|0.0|0.0|0.00250892548209751|0.0|0.0|0.0|0.0|0.06387925509602345|0.009297844330091119|0.0|0.0|0.04174885585689246|0.009297844330091119|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0035236062399573603|0.0|0.12964043356020538|0.12423874882853014|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0037005534892785006|0.0|0.15172269306041852|0.0077923191968317885|0.16020980510597072|0.15224865909965904|0.0|0.03942898905618125|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.30217994072796134|0.0|0.0|0.0|0.0|0.057552768657209506|0.010376049751626646|0.0|0.0|0.0|0.15341443144650344|0.21403330684913086|0.1003281125855301|0.0741664970301085|0.0022367501325972457|0.0|0.0|0.0|0.0250892548209751|0.0|0.0|0.0|0.0|0.0|0.015053552892585058|0.015053552892585058|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.030258594519168996|0.0|0.5235282143301776|0.11370519426360076|0.1003281125855301|0.0|0.1365229002653305|0.0|0.0|0.0|0.0|0.0|0.0|0.008229657248630218|0.0|0.0|0.0|0.0|0.010861681702099708|0.0|0.0|0.0|0.0|0.0|0.0|0.0348467466814255|0.00997481919327723|0.0|0.0|0.0|0.0|0.0|0.008843372767946507|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05401684731675224|0.043213477853401794|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.10906837798545367|0.0|0.1672135209758835|0.16052498013684813|0.0|0.0
International Investing|0.0|0.0|0.17153239669371237|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.10777822521312078|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.15056425723639555|0.0|0.0|0.0|0.12864929752028428|0.0|0.103897541015282|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04745166579567232|0.0|0.0|0.012489973708411244|0.0|0.0|0.311692623045846|0.07983035724574038|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.022591348318356762|0.014903115272145788|0.0|0.32162324380071067|0.12864929752028428|0.0|0.0|0.10117616969533076|0.13305059540956732|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.12906686535020406|0.0|0.014903115272145788|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04825738656163116|0.04825738656163116|0.021555645042624152|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01598820919975179|0.0|0.0|0.0|0.01319096408504662|0.0|0.0|0.0|0.0|0.01740972301847113|0.0|0.0|0.10777822521312078|0.0|0.0|0.0|0.014894494227995853|0.0|0.0|0.0|0.0|0.037799099540734134|0.038056816045959|0.10394752373701886|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.10676624804026272|0.0|0.0|0.0|0.0|0.06992840714283091|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Alternative Mutual Funds|0.0|0.0|0.0|0.28478755321440063|0.2669883311385006|0.20534808662813706|0.21359066491080048|0.21359066491080048|0.0|0.0|0.0|0.0|0.0|0.007525663977418976|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04312410812921905|0.0|0.0138875050383699|0.012371487297542495|0.0|0.0|0.0|0.0|0.014374702709739683|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0196954686962529|0.0|0.029543203044379348|0.010368271885345306|0.05780916626990223|0.0|0.014374702709739683|0.33134691391330706|0.0|0.011609900143788534|0.0|0.0|0.12937232438765717|0.12937232438765717|0.0|0.0|0.0|0.009376850868129507|0.0|0.0|0.0|0.0|0.0|0.0|0.123513427674694|0.07179183134788321|0.0|0.013272253714286805|0.0|0.0|0.0|0.0|0.0|0.03571398901181492|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.16023915374945844|0.16023915374945844|0.026840903794146418|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.010950183343579329|0.011609900143788534|0.0|0.0|0.0|0.0|0.0|0.01579600666370285|0.00894696793138214|0.0|0.0|0.0|0.0680038190197409|0.0|0.0|0.0|0.0|0.02353355680778778|0.0|0.02353355680778778|0.0|0.1378682808737703|0.011609900143788534|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04643960057515414|0.09287920115030827|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Leveraged Loan Funds|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.008204776921982272|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.012101681012068093|0.0|0.0|0.0|0.00888006399544405|0.0|0.0|0.18323347601001344|0.1312386180684188|0.0|0.0|0.0|0.0|0.0|0.020117696849126697|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1312386180684188|0.1312386180684188|0.06678458433362308|0.020359275112223716|0.0|0.3262000681244868|0.4374620602280626|0.0|0.0|0.0|0.4565494661990271|0.007314699459639597|0.0|0.0|0.0|0.016409553843964544|0.0|0.0|0.0|0.0|0.0|0.016409553843964544|0.016409553843964544|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.013456458223090636|0.014267170818719596|0.01941139221987665|0.0|0.0|0.08880063995444051|0.0|0.0|0.0|0.0|0.0|0.0|0.07597137633036867|0.0|0.0|0.0|0.0|0.00963997022054161|0.0|0.0|0.0|0.03630504303620428|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03630504303620428|0.0|0.0|0.0|0.0|0.0|0.014267170818719596|0.0|0.0|0.014267170818719596|0.0|0.0|0.0|0.0|0.0
Exchange-Traded Funds (ETFs)|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.017751907581283116|0.0|0.02110454948920944|0.0|0.0|0.007874583826309154|0.0|0.0|0.0|0.0|0.0|0.0|0.01695387907149394|0.0|0.024568899174425073|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01291491643106775|0.0|0.0|0.511045078848221|0.10496420855960066|0.0|0.012228595698567886|0.0|0.0|0.0|0.11072630577103497|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.13271147145073406|0.029182474770061827|0.0|0.0|0.0|0.0|0.0|0.11071283606189457|0.05861980893760675|0.0|0.015653623523340307|0.0|0.0|0.0|0.0|0.0|0.049142286529944866|0.0|0.0|0.0|0.007874583826309154|0.0|0.0|0.0|0.0|0.0|0.055122086784164075|0.055122086784164075|0.02110454948920944|0.0|0.0|0.015653623523340307|0.014591237385030913|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.014591237385030913|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03165682423381416|0.0|0.0|0.0|0.014582796753699714|0.0|0.0|0.0|0.0|0.12027624955386412|0.0|0.05551211517870652|0.0|0.011614660882914116|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.09291728706331293|0.0|0.0|0.0|0.0|0.0684650135186954|0.027386005407478157|0.015653623523340307|0.015653623523340307|0.0|0.0|0.0|0.0|0.0|0.0
Index Funds|0.0|0.01302819015087154|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.009456328151266772|0.0|0.0|0.0|0.0|0.01677896268336812|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.017450261563529967|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.049496447261958544|0.0|0.036319881411103275|0.05503755008149329|0.0|0.2845071910604666|0.0|0.014588350727925612|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5184267435306218|0.31090637040351415|0.0|0.0|0.0|0.0|0.0|0.049664019299686515|0.013878399563925201|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.14210796578428944|0.0|0.18654382224210847|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00838948134168406|0.00838948134168406|0.02248451830213831|0.0|0.0|0.016677171184596187|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03884081494757446|0.0|0.0|0.0|0.0|0.04928491723092733|0.0|0.019713966892370934|0.0|0.024748223630979272|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.012374111815489636|0.0|0.0|0.0|0.0|0.014588350727925612|0.014588350727925612|0.016677171184596187|0.016677171184596187|0.0|0.0|0.0|0.0|0.0|0.0
Money Market Funds|0.0|0.010661323304828841|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.040942151998847154|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.009199847261839424|0.0|0.0|0.0|0.0|0.0|0.021322646609657683|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.010126073164983112|0.0|0.0|0.0|0.022291162104982307|0.0|0.0|0.21010584780665217|0.0|0.0|0.0|0.0|0.0|0.0|0.00841673441904721|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01016035535710608|0.03407121856324089|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1836170904710909|0.4434297866434566|0.0|0.0|0.20596024138672767|0.38163474289416094|0.48727406793313915|0.0|0.011259682053482614|0.0|0.020596024138672765|0.020596024138672765|0.009199847261839424|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0074303873683274355|0.0|0.0|0.0|0.0|0.0|0.0|0.006356899627404018|0.0|0.0|0.013647383999615719|0.0|0.008066238373339921|0.0|0.0|0.0|0.0|0.011938045253679816|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Mutual Funds|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0569494281191468|0.0|0.009672135786127611|0.0|0.0|0.050524490794152124|0.0|0.0|0.0|0.0|0.019344271572255222|0.0|0.0|0.0|0.022519668477379035|0.0|0.011208638983805681|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04054744603462845|0.051228904306458836|0.0|0.0|0.0|0.0|0.06687109305403473|0.0|0.0|0.0|0.0|0.0|0.010645910942264632|0.0|0.07452137659585242|0.0|0.06249470324847204|0.02367543082625775|0.0|0.5074545017231035|0.0|0.01255090344743843|0.0|0.0|0.0|0.0|0.017697641245518196|0.0|0.0|0.05068430754328555|0.040122655832420834|0.0|0.0|0.0|0.0|0.0|0.05340976532125081|0.07164063553737932|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03860867210386667|0.046619394713424626|0.013374218610806945|0.03415260287097256|0.050524490794152124|0.040122655832420834|0.051228904306458836|0.0|0.0|0.0|0.245404669571596|0.245404669571596|0.009672135786127611|0.0|0.0|0.014347993766943967|0.0|0.0|0.0|0.0|0.02901640735838283|0.0|0.01255090344743843|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.019344271572255222|0.0|0.01255090344743843|0.0|0.06683240995757833|0.0|0.0|0.0|0.0|0.07632298183737031|0.0|0.07632298183737031|0.0|0.010645910942264632|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.046619394713424626|0.051228904306458836|0.051228904306458836|0.0|0.0|0.0|0.0|0.0|0.0|0.01255090344743843|0.014347993766943967|0.014347993766943967|0.0|0.0|0.0|0.0|0.0|0.0
Target Date Funds|0.1638910185216298|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03464726517404182|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01598410688791028|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.23743450641058572|0.21816882864172626|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.22882228914422106|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0796097658845338|0.01271234939690117|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.18180735720143856|0.0|0.0|0.0|0.0|0.0|0.0|0.015369209912574002|0.015369209912574002|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.100826693072599|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.10690120901835559|0.12291826389122235|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03611523561926926|0.0|0.02266890099975437|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.36398685344206455|0.3636147144028771|0.21816882864172626|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Smart Beta, Quant Funds and other Non-Traditional Index Funds|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1161823159464852|0.1161823159464852|0.007263486911476131|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.015108174308555272|0.0|0.0|0.0|0.0|0.0|0.0|0.1161823159464852|0.1161823159464852|0.1161823159464852|0.0|0.0|0.0|0.0|0.0|0.0|0.01345890323934592|0.0|0.1161823159464852|0.0|0.0|0.0|0.010713320115079873|0.0|0.04285328046031949|0.10151650180543093|0.02358390577244179|0.035738013028621146|0.0|0.3544634405438538|0.0|0.0|0.0|0.1161823159464852|0.0|0.0|0.0|0.0|0.0|0.31623246988412046|0.24226025830822656|0.0|0.0|0.0|0.0|0.0|0.08062192839969395|0.0180235647734163|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0647552325817988|0.03127639033395458|0.01345890323934592|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.007263486911476131|0.007263486911476131|0.06813365357336307|0.0|0.0|0.10107190990761747|0.0|0.0|0.0|0.0|0.0|0.0|0.012630374901226094|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.020176676448473436|0.0|0.0|0.0|0.0|0.0|0.10310656438069697|0.0|0.0|0.021426640230159746|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01563819516697729|0.0|0.0|0.010713320115079873|0.0|0.0|0.0|0.0|0.0|0.13893412391348703|0.15882728699768459|0.15882728699768459|0.0|0.0|0.0|0.0|0.0|0.0
Real Estate Investment Trusts (REITs)|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04069495047362443|0.0|0.0|0.010122803110166714|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02105559984391895|0.0|0.007859949763748595|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04689270774186465|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.032867855014092014|0.0|0.0|0.012559325828505644|0.0|0.0|0.0|0.0|0.0|0.0|0.012410299888112597|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04868900629262023|0.016745767771340857|0.0|0.0|0.0|0.0|0.0|0.0|0.008801199746825155|0.009024652729020836|0.0|0.0|0.0|0.005061401555083357|0.0|0.0|0.0|0.0|0.0|0.005061401555083357|0.005061401555083357|0.12208485142087329|0.14842501449342735|0.14842501449342735|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.10561439696190186|0.14369509621370144|0.10794546508612897|0.0|0.005477975835682002|0.0|0.10777132216027609|0.020347475236812216|0.7151387061956045|0.0|0.0|0.01874623263772785|0.0|0.0|0.0|0.0|0.05352075340529383|0.0|0.029733751891829904|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.15677218542279664|0.0|0.20239774703649183|0.14842501449342735|0.14842501449342735|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.014930684325980633|0.0
Structured Notes with Principal Protection|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02325632975121522|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.047701262974848245|0.0|0.11456856540143724|0.0|0.0|0.0|0.0|0.0|0.0|0.019156738369418436|0.0|0.0|0.0|0.06446338598370834|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.15926353921733127|0.2541860839219384|0.22913713080287448|0.22913713080287448|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2388953088259969|0.3437056962043117|0.0|0.0|0.0|0.0|0.2114497124436534|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.019896426202549795|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.11209447229680677|0.11456856540143724|0.11456856540143724|0.11456856540143724|0.11456856540143724|0.11456856540143724|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Hedge Funds|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.015547131182185665|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.015547131182185665|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.07534116851853771|0.0|0.0|0.2303123908314604|0.0|0.0|0.0|0.0|0.3996623489830138|0.3996623489830138|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.09443679357306219|0.07677079694382014|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04640788482704805|0.0|0.0|0.0|0.0|0.0|0.023203942413524026|0.023203942413524026|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.08594190716986055|0.0|0.0|0.0|0.0|0.0408942222303879|0.0|0.0|0.0|0.0342247829503477|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Stocks|0.0|0.037323506086685034|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02031805553328636|0.0|0.05636246594801682|0.0|0.0|0.10214624063289379|0.0|0.0|0.0|0.0|0.032207123398866756|0.0|0.0|0.0|0.1937188993663645|0.0|0.009330876521671258|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.12247026679397678|0.0|0.0|0.009854564945679682|0.0|0.0|0.0|0.0|0.0|0.009330876521671258|0.039018811301208677|0.0|0.0|0.024849505408995623|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.017784850631162797|0.05466891189979036|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.048210949507879935|0.0|0.0|0.0|0.024034409560680894|0.0|0.0|0.0|0.0|0.0|0.006008602390170223|0.006008602390170223|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.024155342549150062|0.11825477934815619|0.010448273913779255|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.006503135216868112|0.0|0.0|0.008051780849716689|0.0|0.02089654782755851|0.0|0.022254440199594785|0.011944301031239639|0.0|0.0|0.0|0.08471564600830898|0.0|0.5647709733887264|0.11212827137060369|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.008862421263322075|0.0|0.0|0.0|0.0|0.010448273913779255|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Private Equity Funds|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.07453921691593919|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2893467501498573|0.10288363533754075|0.293953243821545|0.0|0.0|0.05692219048974273|0.0|0.023867885735671293|0.03616834376873216|0.0|0.19608635561284005|0.0|0.0|0.0|0.0|0.03560962219989043|0.02373974813326029|0.013518114562749258|0.0|0.0|0.0|0.0|0.030647172161531934|0.0|0.0|0.0|0.0|0.07343344626884174|0.08208266048909584|0.0|0.0|0.0|0.010215724053843979|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.011026422678992929|0.0|0.0|0.0|0.0|0.0|0.01653963401848939|0.011026422678992929|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01808417188436608|0.009586845405821734|0.0|0.0|0.117581297528618|0.0|0.0|0.0|0.35070494793541696|0.470325190114472|0.10288363533754075|0.293953243821545|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02216380778819062|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.008131741498534677|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
